gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_1,pow_of_2,10,200,40,100,False,False,10000,1000,64.7171,1000,15.4519,27496.5762,1575.6738,280.8543,256.5506,132.4612,778.9368,22.766,23.0612,6.059,36.8771,23.3093,14.6903,29.2403,120.9224,2512.9515,2390.6652
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_2,pow_of_2,10,200,40,100,False,False,10000,1000,65.5667,1000,15.2516,27140.2686,1555.2558,286.918,253.3533,167.8187,1086.4172,22.9484,23.0139,5.508,36.9761,23.4023,14.1481,29.2024,120.3047,2540.6431,2425.7913
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_3,pow_of_2,10,200,40,100,False,False,10000,1000,65.4974,1000,15.2678,27168.9982,1556.9021,290.5882,253.8613,174.0592,1207.5995,22.8068,23.2217,4.7102,34.5091,23.4564,14.3848,29.4767,138.6794,2544.4865,2448.7242
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_4,pow_of_2,10,200,40,100,False,False,10000,1000,66.1349,1000,15.1206,26907.1025,1541.8944,307.6077,263.4249,204.6969,1428.9451,22.897,23.0632,5.3869,36.0773,23.5099,14.4212,29.8256,140.9585,2571.3836,2506.0162
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_5,pow_of_2,10,200,40,100,False,False,10000,1000,65.867,1000,15.1821,27016.5478,1548.1661,303.293,268.851,176.4213,1138.1587,22.9732,23.2396,5.1547,36.5463,23.4728,15.1632,29.758,139.2643,2564.5783,2440.4437
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_6,pow_of_2,10,200,40,100,False,False,10000,1000,65.8874,1000,15.1774,27008.1821,1547.6867,297.5776,257.1845,175.7762,1121.7789,23.0407,23.3656,5.3067,36.4896,23.5279,15.5707,29.0755,132.5742,2562.5288,2440.4443
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_7,pow_of_2,10,200,40,100,False,False,10000,1000,66.1701,1000,15.1126,26892.7725,1541.0732,299.0636,261.7297,172.7921,1190.8988,23.0797,23.2513,5.9524,36.1772,23.5067,15.0188,29.5855,135.6431,2567.5013,2442.0042
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_8,pow_of_2,10,200,40,100,False,False,10000,1000,66.0263,1000,15.1455,26951.3602,1544.4305,303.48,275.1853,164.6781,1059.3839,22.9507,23.2494,5.1046,36.5075,23.499,15.622,29.5458,133.9685,2558.6622,2434.8582
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_9,pow_of_2,10,200,40,100,False,False,10000,1000,65.4815,1000,15.2715,27175.5667,1557.2785,295.5871,270.7878,141.5327,828.4599,22.7692,23.1157,5.1633,35.5268,23.3824,15.3739,29.2743,132.8636,2543.8682,2457.8202
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,sweep_10,pow_of_2,10,200,40,100,False,False,10000,1000,66.1937,1000,15.1072,26883.181,1540.5236,306.7763,273.8091,177.2229,1167.831,23.0109,23.2492,5.445,37.5716,23.4638,15.9989,29.1432,134.2433,2563.8535,2462.326
