gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_overhead,random,10,200,40,100,False,False,10000,1000,67.5586,1000,14.802,26340.0514,1509.3999,229.1581,192.7022,152.2681,985.4182,24.4763,23.9316,7.0323,44.3243,24.9818,11.1311,31.1541,126.5666,2628.716,2521.8569
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_overhead,round_robin,10,200,40,100,False,False,10000,1000,66.172,1000,15.1121,26892.0287,1541.0306,203.3044,185.3682,128.3026,895.1768,23.8173,24.3032,5.2988,35.8588,24.7015,13.4198,29.2357,110.9796,2573.6853,2457.7956

gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,random,10,200,40,100,False,False,10000,1000,68.045,1000,14.6962,26151.7724,1498.6107,249.1628,215.2112,154.7772,949.2406,24.4794,23.8709,6.8082,47.2945,24.9413,13.9868,30.8838,131.6259,2642.6753,2521.4037
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,random,10,200,40,100,False,False,10000,1000,70.0066,1000,14.2844,25418.9899,1456.619,244.7126,213.5289,137.6757,859.057,25.0573,24.9568,7.1266,44.0073,25.8803,13.3683,31.9927,147.043,2716.7435,2606.4656
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,random,10,200,40,100,False,False,10000,1000,70.0541,1000,14.2747,25401.7506,1455.6311,258.4086,220.2116,161.872,931.1639,25.2174,24.6665,7.163,45.6797,25.4919,14.9171,31.2947,145.5832,2716.9296,2546.7944
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,random,10,200,40,100,False,False,10000,1000,68.9094,1000,14.5118,25823.7393,1479.8129,253.2279,221.0942,142.4564,922.1517,24.6687,24.3741,6.622,43.1787,25.2257,15.3886,30.8036,130.0375,2677.2149,2510.4893
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,round_robin,10,200,40,100,False,False,10000,1000,66.5492,1000,15.0265,26739.5661,1532.2938,211.2375,190.3449,126.2064,845.9994,23.9133,24.5885,5.237,35.4402,24.7538,14.319,29.1809,110.6494,2587.8028,2447.4065
