gpu_type,model_name,num_servers,is_prefix_cached,sweep_type,sweep_value,requests_per_server,total_prompt_length,max_concurrency,num_groups,prompts_per_group,system_prompt_len,question_len,output_len,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,0.002,512,102464,32,512,1,1024,64,16,40.422,512,12.6664,14516.8807,202.662,1847.2435,2180.182,674.5082,2425.9915,44.9443,21.6347,44.8315,143.4041,44.9878,21.0315,194.7011,1622.1158,2521.4076,2511.2487
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,0.0039,512,102464,32,256,2,1024,64,16,25.1439,512,20.3628,23351.1815,325.8045,798.7279,486.5719,726.277,2120.2419,50.4883,41.8302,27.9265,125.5217,50.6023,21.3976,127.3569,645.352,1556.0518,1531.8285
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,0.0078,512,102464,32,128,4,1024,64,16,18.5935,512,27.5365,31518.8252,440.5843,646.1049,446.4415,580.3818,2063.2238,33.5765,27.6697,19.7783,124.7585,33.6185,21.0071,91.1823,247.3417,1149.7525,893.6494
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,0.0156,512,102464,32,64,8,1024,64,16,14.6378,512,34.978,40115.4918,559.6484,309.9016,101.8739,491.3557,1957.6315,39.4624,37.7164,11.8892,110.1843,39.6206,22.8834,63.4035,245.3405,901.8372,661.3541
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,0.0312,512,102464,32,32,16,1024,64,16,12.8514,512,39.8401,45798.5044,637.4423,269.8688,139.9493,365.2522,1620.5253,34.8909,34.6431,9.6158,96.7892,34.9704,20.6963,49.6048,173.7392,793.2319,664.3533
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,0.0625,512,102464,32,16,32,1024,64,16,11.9835,512,42.7255,48940.2289,683.6081,339.9691,335.7001,280.8935,1401.0579,26.1651,26.6163,8.0995,78.9497,26.1028,19.6579,39.953,204.6695,732.4458,742.6285
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,0.125,512,102464,32,8,64,1024,64,16,12.3215,512,41.5533,47508.3533,664.852,471.9353,513.8172,240.3196,1310.4603,18.5852,21.093,9.726,70.0749,18.5966,18.9814,26.3504,58.182,750.7138,842.7535
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,0.25,512,102464,32,4,128,1024,64,16,11.5708,512,44.2492,50773.4408,707.9871,413.6927,485.8061,178.0031,783.7217,19.3671,21.1765,7.4582,33.5328,19.2877,18.9429,19.3784,79.6443,704.1998,810.0691
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,0.5,512,102464,32,2,256,1024,64,16,11.2921,512,45.3413,51931.9556,725.4615,429.3935,504.4753,142.0308,575.2242,17.1409,20.707,7.7378,26.0021,17.0044,18.7423,10.091,51.3764,686.5073,827.3571
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,prefix_reuse_rate,1.0,512,102464,32,1,512,1024,64,16,11.4348,512,44.7757,51327.3593,716.4109,438.5017,506.0825,148.1514,623.8708,17.1101,20.7056,7.7252,25.6322,17.0848,18.7008,10.2307,54.6752,695.1535,827.09
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,prefix_reuse_rate,0.002,512,102464,32,512,1,1024,64,16,41.0243,2048,49.9216,57205.1465,798.7461,1511.7171,1433.7851,928.389,4281.274,67.7928,58.24,46.8356,235.9508,67.7381,20.466,201.8512,998.5101,2528.6093,2352.8247
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,prefix_reuse_rate,0.0039,512,102464,32,256,2,1024,64,16,34.5127,2048,59.3405,68020.4405,949.4476,1183.8291,1038.1968,917.2555,4193.9437,60.5085,48.8849,37.3906,179.6605,60.324,20.543,136.5012,704.2674,2091.457,1823.6478
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,prefix_reuse_rate,0.0078,512,102464,32,128,4,1024,64,16,31.5372,2048,64.9392,74375.8496,1039.0274,1216.8457,1004.1876,923.2104,4238.1462,48.3268,42.9369,26.6773,130.0052,48.3046,19.8009,108.8371,543.6623,1941.7472,1744.4678
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,prefix_reuse_rate,0.0156,512,102464,32,64,8,1024,64,16,29.726,2048,68.8959,78956.7887,1102.334,1180.536,942.8211,988.9274,4637.4105,42.613,37.8428,25.2429,111.616,42.2372,17.9518,89.5793,406.4456,1819.7314,1698.5561
