gpu_type,model_name,is_prefix_cached,sweep_type,sweep_value,num_groups,prompts_per_group,system_prompt_len,question_len,output_len,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,output_throughput,median_ttft_ms,median_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0,128,1,482,30,16,4.831445100000565,128,69328,2048,2048,423.8897384966168,2810.992663500656,34.095488001185004,4817.7419780466835,4817.515370499677
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.1,9,13,482,30,16,3.4126468999966164,117,63459,1872,1857,548.5478148946075,2510.9333410000545,28.740344001562335,3400.1550291025674,3399.589289998403
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.2,4,26,482,30,16,2.870796387000155,104,56198,1664,1659,579.6301010880122,2464.1756094988523,24.645175002660835,2823.334852509456,2857.881545498458
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.3,3,38,482,30,16,2.88799471600214,114,61091,1824,1822,631.5801029321026,2400.833296000201,26.523114498559153,2828.6431287019295,2872.693387500476
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.4,2,51,482,30,16,1.1224580519992742,102,55202,1632,1632,1453.9518845208972,713.6416244975408,26.173258000198985,1085.5344519017058,1110.3029040004913
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.5,2,64,482,30,16,2.9908609810008784,128,68807,2048,2047,684.7526558438185,2503.720770497239,27.21641800235375,2914.4264380078366,2973.772483499488
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.6,1,77,482,30,16,0.9055267509975238,77,41081,1232,1232,1360.5340743858035,557.3338040012459,22.104373001639033,853.1917659741091,895.0402830014355
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.7,1,90,482,30,16,1.0283052020022296,90,48478,1440,1438,1400.3624577568535,654.8168245008128,22.661633000097936,969.6518686000168,1016.5243324991025
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.8,1,102,482,30,16,1.0777876469983312,102,55032,1632,1632,1514.212938462568,672.1041265027452,24.11643950108555,1028.0238256669404,1064.4219075020374
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.9,1,115,482,30,16,1.560427205000451,115,64909,1840,1808,1179.1642661084393,784.8652280008537,25.805725001191604,1428.6992805651528,1545.0653579973732
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,1.0,1,128,482,30,16,1.264244575999328,128,68133,2048,2048,1619.9397164754685,706.457953001518,26.988413999788463,1187.4182328592724,1247.2826515004272
gpu_type,model_name,is_prefix_cached,sweep_type,sweep_value,num_groups,prompts_per_group,system_prompt_len,question_len,output_len,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,output_throughput,median_ttft_ms,median_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.0,8,16,0,512,16,4.871924391001812,128,69018,2048,2032,420.36777167202104,2847.589369499474,34.1017094997369,4858.188999578089,4857.83411850025
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.1,8,16,51,461,16,4.704751689998375,128,69110,2048,2048,435.30458883807904,2741.1689144992124,33.657402000244474,4691.225153414109,4690.797062499769
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.2,8,16,102,410,16,4.642061751001165,128,69107,2048,2048,441.1832736947764,2797.127908499533,31.024264000734547,4569.470771695478,4626.250511500984
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.3,8,16,154,358,16,4.589531038000132,128,69261,2048,2046,446.2329556207571,2804.90281099992,30.27082100015832,4084.7600505782966,4573.865213000317
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.4,8,16,205,307,16,4.029266658002598,128,69034,2048,2048,508.2810778811154,2876.927817000251,32.28467349981656,4013.8537655858217,4013.7945114984177
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.5,8,16,256,256,16,3.8948000259988476,128,68853,2048,2029,525.8293073659864,2592.3064354992675,31.46279499924276,3881.5226556173175,3880.9231470004306
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.6,8,16,307,205,16,3.91093454699876,128,69092,2048,2046,523.6600038657331,3394.208633000744,28.90926400141325,3500.6210594064555,3895.9169375011697
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.7,8,16,358,154,16,3.8844576330011478,128,69290,2048,2031,527.229331220098,2660.1207809999323,28.315219999058172,3456.8714480780327,3869.679133997124
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.8,8,16,410,102,16,3.30180600300082,128,69581,2048,2046,620.2666050454483,2702.0855709997704,29.91593999831821,3287.6226440860137,3287.3115990005317
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.9,8,16,461,51,16,3.2775327319977805,128,69121,2048,2045,624.8602737070657,2749.761036498967,29.24680600335705,3258.6354196249376,3262.327259499216
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,1.0,8,16,512,0,16,3.961989330000506,128,68816,2048,2048,516.9120432739122,2505.178755000088,25.09236349942512,3462.0736810469452,3944.5799575005367
gpu_type,model_name,is_prefix_cached,sweep_type,sweep_value,num_groups,prompts_per_group,system_prompt_len,question_len,output_len,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,output_throughput,median_ttft_ms,median_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.0,64,16,0,2176,256,272.75096475199825,1024,2346450,262144,261884,961.1111742110876,127858.60178849907,100.21755200068583,164668.95341127642,180677.02687850033
